district,ur,cpi_code,cpi_category,category_district_spend,household_count,avg_spend_rwf,total_district_spend,basket_share_pct
Ngoma,Rural,02,Alcoholic beverages and tobacco,1660419.2061791555,3.0,2667.0,2808715263.9269056,0.06
Ngoma,Rural,03,Clothing and footwear,382855936.82813597,132.0,13632.0,2808715263.9269056,13.63
Ngoma,Rural,04,Housing and utilities,1143433349.584547,400.0,13620.0,2808715263.9269056,40.71
Ngoma,Rural,05,Furnishing and household,297370136.4186276,150.0,9390.0,2808715263.9269056,10.59
Ngoma,Rural,06,Health,69257001.51871346,59.0,5344.0,2808715263.9269056,2.47
Ngoma,Rural,07,Transport,30429897.713742234,23.0,6222.0,2808715263.9269056,1.08
Ngoma,Rural,08,Communication,5401058.06245314,64.0,406.0,2808715263.9269056,0.19
Ngoma,Rural,09,Recreation and culture,1345040.9951786655,8.0,725.0,2808715263.9269056,0.05
Ngoma,Rural,12,Miscellaneous,43918788.85239969,57.0,3661.0,2808715263.9269056,1.56
Bugesera,Urban,01,Food and non-alcoholic beverages,1041810796.6243286,197.0,18761.0,3899241395.640234,26.72
Bugesera,Urban,02,Alcoholic beverages and tobacco,345941.9166331104,3.0,433.0,3899241395.640234,0.01
Bugesera,Urban,03,Clothing and footwear,908763186.2245291,86.0,37716.0,3899241395.640234,23.31
Bugesera,Urban,04,Housing and utilities,311377041.5490165,86.0,13558.0,3899241395.640234,7.99
Bugesera,Urban,05,Furnishing and household,856781907.4510425,96.0,30481.0,3899241395.640234,21.97
Bugesera,Urban,06,Health,276308429.5457833,66.0,14322.0,3899241395.640234,7.09
Bugesera,Urban,07,Transport,279063911.93407047,17.0,63697.0,3899241395.640234,7.16
Bugesera,Urban,08,Communication,26872775.379724365,30.0,4020.0,3899241395.640234,0.69
Bugesera,Urban,09,Recreation and culture,19152082.68938654,4.0,18250.0,3899241395.640234,0.49
Bugesera,Urban,10,Education,134911.97283570166,1.0,500.0,3899241395.640234,0.0
Bugesera,Urban,11,Restaurants and hotels,20656831.620961055,2.0,35000.0,3899241395.640234,0.53
Bugesera,Urban,12,Miscellaneous,157973578.73192263,45.0,12733.0,3899241395.640234,4.05
Bugesera,Rural,01,Food and non-alcoholic beverages,965748726.3505388,288.0,11757.0,3550368047.9088154,27.2
Bugesera,Rural,02,Alcoholic beverages and tobacco,690892.3938654596,7.0,336.0,3550368047.9088154,0.02
Bugesera,Rural,03,Clothing and footwear,453420008.18708307,99.0,16374.0,3550368047.9088154,12.77
Bugesera,Rural,04,Housing and utilities,510400789.4679237,248.0,7256.0,3550368047.9088154,14.38
Bugesera,Rural,05,Furnishing and household,1269375164.4490561,172.0,25477.0,3550368047.9088154,35.75
Bugesera,Rural,06,Health,247666304.20351678,75.0,11453.0,3550368047.9088154,6.98
Bugesera,Rural,07,Transport,14184752.103878647,29.0,1807.0,3550368047.9088154,0.4
Bugesera,Rural,08,Communication,8253513.5406327685,62.0,449.0,3550368047.9088154,0.23
Bugesera,Rural,09,Recreation and culture,2102186.877878205,7.0,993.0,3550368047.9088154,0.06
Bugesera,Rural,10,Education,53160.22727272727,1.0,200.0,3550368047.9088154,0.0
Bugesera,Rural,12,Miscellaneous,78472550.10716915,65.0,4188.0,3550368047.9088154,2.21
