Province,U_R,COICOP,Category_Name,Weight,Weight_pct,Date,CPI_Index,Year,Month,YearMonth,YoY_pct,MoM_pct
0,0,07,Transport,772.5927231856721,7.72592723185672,2015-11-01,100.35940273221078,2015,11,2015-11,0.30622948477505574,1.34011218488852
0,0,07,Transport,772.5927231856721,7.72592723185672,2015-12-01,100.44423901685039,2015,12,2015-12,0.780973239058036,0.0845324726233887
0,0,07,Transport,772.5927231856721,7.72592723185672,2016-01-01,100.13508853296645,2016,1,2016-01,2.63829801272073,-0.30778319086282035
0,0,07,Transport,772.5927231856721,7.72592723185672,2016-02-01,100.29206506807567,2016,2,2016-02,3.4692614073345673,0.15676476388948313
0,0,07,Transport,772.5927231856721,7.72592723185672,2016-03-01,100.10655332840061,2016,3,2016-03,3.4715663151083653,-0.1849715025302734
0,0,07,Transport,772.5927231856721,7.72592723185672,2016-04-01,101.82121319160784,2016,4,2016-04,5.159717967920785,1.7128347807383593
0,0,07,Transport,772.5927231856721,7.72592723185672,2016-05-01,102.56342179964443,2016,5,2016-05,5.364230097759237,0.7289331807900368
0,0,07,Transport,772.5927231856721,7.72592723185672,2016-06-01,102.84187839779673,2016,6,2016-06,5.012463208311724,0.2714969852471105
0,0,07,Transport,772.5927231856721,7.72592723185672,2016-07-01,104.97335772670498,2016,7,2016-07,5.899575548382074,2.07257914977359
0,0,07,Transport,772.5927231856721,7.72592723185672,2016-08-01,104.77911843944342,2016,8,2016-08,5.4608810387899,-0.18503674786439772
0,0,07,Transport,772.5927231856721,7.72592723185672,2016-09-01,104.7060479896543,2016,9,2016-09,5.556781794587495,-0.0697376069558775
0,0,07,Transport,772.5927231856721,7.72592723185672,2016-10-01,103.88382058993672,2016,10,2016-10,4.8989705615310575,-0.785272117040281
0,0,07,Transport,772.5927231856721,7.72592723185672,2016-11-01,105.08458758198594,2016,11,2016-11,4.7082632231116195,1.1558748852615208
0,0,07,Transport,772.5927231856721,7.72592723185672,2016-12-01,105.40344211709142,2016,12,2016-12,4.937269821327517,0.3034265465967634
0,0,07,Transport,772.5927231856721,7.72592723185672,2017-01-01,105.3274535355583,2017,1,2017-01,5.1853601756016054,-0.07209307400862786
0,0,07,Transport,772.5927231856721,7.72592723185672,2017-02-01,105.58210816290766,2017,2,2017-02,5.274637720582631,0.24177421821309775
0,0,07,Transport,772.5927231856721,7.72592723185672,2017-03-01,105.91612467217229,2017,3,2017-03,5.803387641080127,0.3163571130340159
0,0,07,Transport,772.5927231856721,7.72592723185672,2017-04-01,106.167350566234,2017,4,2017-04,4.268400698042729,0.23719324591917612
0,0,07,Transport,772.5927231856721,7.72592723185672,2017-05-01,106.28908068827648,2017,5,2017-05,3.6325415272416173,0.11465871700975239
0,0,07,Transport,772.5927231856721,7.72592723185672,2017-06-01,106.15161055300305,2017,6,2017-06,3.218272756944529,-0.12933608455660828
0,0,07,Transport,772.5927231856721,7.72592723185672,2017-07-01,105.59406394059175,2017,7,2017-07,0.5912988088870863,-0.5252361311399167
0,0,07,Transport,772.5927231856721,7.72592723185672,2017-08-01,105.93262973144037,2017,8,2017-08,1.1008980693644643,0.32062956781273577
0,0,07,Transport,772.5927231856721,7.72592723185672,2017-09-01,106.1942865543343,2017,9,2017-09,1.4213491897116182,0.2470030467073947
0,0,07,Transport,772.5927231856721,7.72592723185672,2017-10-01,106.72238214265803,2017,10,2017-10,2.732438542019011,0.497291902849728
0,0,07,Transport,772.5927231856721,7.72592723185672,2017-11-01,107.70942939341957,2017,11,2017-11,2.497837096601585,0.9248737059130985
0,0,07,Transport,772.5927231856721,7.72592723185672,2017-12-01,107.98686859183088,2017,12,2017-12,2.45098871806253,0.2575811606966516
0,0,07,Transport,772.5927231856721,7.72592723185672,2018-01-01,108.0223038400093,2018,1,2018-01,2.558545007965307,0.032814404788750196
0,0,07,Transport,772.5927231856721,7.72592723185672,2018-02-01,108.02545152275587,2018,2,2018-02,2.314164210548131,0.0029139192876614928
0,0,07,Transport,772.5927231856721,7.72592723185672,2018-03-01,109.25170629399194,2018,3,2018-03,3.1492670564976066,1.1351535716356276
0,0,07,Transport,772.5927231856721,7.72592723185672,2018-04-10,118.51058422530484,2018,4,2018-04,11.626204848514444,8.474813113122126
