hhid,cpi_code,cpi_category,total_spend_rwf
300284.0,01,Food and non-alcoholic beverages,4600.0
300286.0,01,Food and non-alcoholic beverages,4642.2
300287.0,01,Food and non-alcoholic beverages,12253.26
300288.0,01,Food and non-alcoholic beverages,21903.7
300289.0,01,Food and non-alcoholic beverages,25300.0
300290.0,01,Food and non-alcoholic beverages,28700.538
300291.0,01,Food and non-alcoholic beverages,33250.0
300292.0,01,Food and non-alcoholic beverages,63402.0
300293.0,01,Food and non-alcoholic beverages,44010.0
300294.0,01,Food and non-alcoholic beverages,65400.0
300295.0,01,Food and non-alcoholic beverages,21240.6
300296.0,01,Food and non-alcoholic beverages,34152.0
300297.0,01,Food and non-alcoholic beverages,20205.5
300298.0,01,Food and non-alcoholic beverages,23118.25
300299.0,01,Food and non-alcoholic beverages,17553.0
300300.0,01,Food and non-alcoholic beverages,20565.0
300301.0,01,Food and non-alcoholic beverages,13152.75
300302.0,01,Food and non-alcoholic beverages,10100.0
300303.0,01,Food and non-alcoholic beverages,34625.0
300304.0,01,Food and non-alcoholic beverages,13825.25
300305.0,01,Food and non-alcoholic beverages,23509.022
300306.0,01,Food and non-alcoholic beverages,14798.25
300307.0,01,Food and non-alcoholic beverages,22881.081
300308.0,01,Food and non-alcoholic beverages,9136.845
300309.0,01,Food and non-alcoholic beverages,12496.68
300310.0,01,Food and non-alcoholic beverages,57774.87
300311.0,01,Food and non-alcoholic beverages,9719.03
300312.0,01,Food and non-alcoholic beverages,6553.0
300313.0,01,Food and non-alcoholic beverages,1664.0240000000001
300314.0,01,Food and non-alcoholic beverages,17766.035
300315.0,01,Food and non-alcoholic beverages,98000.0
300316.0,01,Food and non-alcoholic beverages,21602.0
300317.0,01,Food and non-alcoholic beverages,12600.0
300318.0,01,Food and non-alcoholic beverages,35900.0
300319.0,01,Food and non-alcoholic beverages,34100.0
300320.0,01,Food and non-alcoholic beverages,44800.0
300321.0,01,Food and non-alcoholic beverages,6900.0
300322.0,01,Food and non-alcoholic beverages,43600.0
300323.0,01,Food and non-alcoholic beverages,125300.77
300324.0,01,Food and non-alcoholic beverages,12610.0
300325.0,01,Food and non-alcoholic beverages,15050.0
300326.0,01,Food and non-alcoholic beverages,27320.0
300328.0,01,Food and non-alcoholic beverages,39410.0
300329.0,01,Food and non-alcoholic beverages,44600.0
300330.0,01,Food and non-alcoholic beverages,8030.0
300331.0,01,Food and non-alcoholic beverages,46328.0
300332.0,01,Food and non-alcoholic beverages,29000.0
300333.0,01,Food and non-alcoholic beverages,14702.5
300335.0,01,Food and non-alcoholic beverages,29410.0
300336.0,01,Food and non-alcoholic beverages,28400.0
300337.0,01,Food and non-alcoholic beverages,22851.0
300338.0,01,Food and non-alcoholic beverages,33530.0
300339.0,01,Food and non-alcoholic beverages,23900.5
300340.0,01,Food and non-alcoholic beverages,19890.75
300341.0,01,Food and non-alcoholic beverages,21663.75
300342.0,01,Food and non-alcoholic beverages,42495.75
300343.0,01,Food and non-alcoholic beverages,74070.0
300344.0,01,Food and non-alcoholic beverages,33250.0
300345.0,01,Food and non-alcoholic beverages,7850.0
300346.0,01,Food and non-alcoholic beverages,21690.05
300347.0,01,Food and non-alcoholic beverages,19030.0
300348.0,01,Food and non-alcoholic beverages,11950.5
300349.0,01,Food and non-alcoholic beverages,49400.0
300350.0,01,Food and non-alcoholic beverages,4400.0
300351.0,01,Food and non-alcoholic beverages,92750.0
300352.0,01,Food and non-alcoholic beverages,22300.0
300353.0,01,Food and non-alcoholic beverages,18650.0
300354.0,01,Food and non-alcoholic beverages,69100.0
300355.0,01,Food and non-alcoholic beverages,50215.3
300356.0,01,Food and non-alcoholic beverages,37230.75
300357.0,01,Food and non-alcoholic beverages,14507.82
300358.0,01,Food and non-alcoholic beverages,2650.0
300359.0,01,Food and non-alcoholic beverages,63150.75
300360.0,01,Food and non-alcoholic beverages,34750.0
300361.0,01,Food and non-alcoholic beverages,9350.5
300362.0,01,Food and non-alcoholic beverages,13971.0
300363.0,01,Food and non-alcoholic beverages,20120.0
300364.0,01,Food and non-alcoholic beverages,13100.0
300365.0,01,Food and non-alcoholic beverages,7558.564
300366.0,01,Food and non-alcoholic beverages,21700.0
300367.0,01,Food and non-alcoholic beverages,17604.66
300368.0,01,Food and non-alcoholic beverages,24350.5
300369.0,01,Food and non-alcoholic beverages,6800.0
300370.0,01,Food and non-alcoholic beverages,1500.24
300372.0,01,Food and non-alcoholic beverages,20100.0
300373.0,01,Food and non-alcoholic beverages,12110.0
300374.0,01,Food and non-alcoholic beverages,25592.17
300375.0,01,Food and non-alcoholic beverages,33966.0
300376.0,01,Food and non-alcoholic beverages,5768.4039999999995
300377.0,01,Food and non-alcoholic beverages,31440.0
300379.0,01,Food and non-alcoholic beverages,76800.0
300380.0,01,Food and non-alcoholic beverages,37901.02
300381.0,01,Food and non-alcoholic beverages,20250.0
300382.0,01,Food and non-alcoholic beverages,53750.5
300383.0,01,Food and non-alcoholic beverages,28850.0
300384.0,01,Food and non-alcoholic beverages,60000.0
300385.0,01,Food and non-alcoholic beverages,40350.75
300386.0,01,Food and non-alcoholic beverages,23050.0
300387.0,01,Food and non-alcoholic beverages,21600.0
300388.0,01,Food and non-alcoholic beverages,59850.0
300389.0,01,Food and non-alcoholic beverages,60309.5
300390.0,01,Food and non-alcoholic beverages,9952.57
300391.0,01,Food and non-alcoholic beverages,23653.0
300393.0,01,Food and non-alcoholic beverages,40700.0
300394.0,01,Food and non-alcoholic beverages,116650.5
300395.0,01,Food and non-alcoholic beverages,2600.0
300396.0,01,Food and non-alcoholic beverages,14900.0
300397.0,01,Food and non-alcoholic beverages,11075.0
300398.0,01,Food and non-alcoholic beverages,22406.35
300399.0,01,Food and non-alcoholic beverages,4400.0
300400.0,01,Food and non-alcoholic beverages,18650.0
300401.0,01,Food and non-alcoholic beverages,2000.0
300402.0,01,Food and non-alcoholic beverages,11076.3
300403.0,01,Food and non-alcoholic beverages,25201.072
300404.0,01,Food and non-alcoholic beverages,2352.0
300405.0,01,Food and non-alcoholic beverages,82476.47
300406.0,01,Food and non-alcoholic beverages,14000.0
300407.0,01,Food and non-alcoholic beverages,44641.87
300408.0,01,Food and non-alcoholic beverages,43750.0
300409.0,01,Food and non-alcoholic beverages,5710.5
300410.0,01,Food and non-alcoholic beverages,51602.5
300411.0,01,Food and non-alcoholic beverages,26750.0
300412.0,01,Food and non-alcoholic beverages,58635.75
300414.0,01,Food and non-alcoholic beverages,20300.0
300415.0,01,Food and non-alcoholic beverages,10184.563
300416.0,01,Food and non-alcoholic beverages,19550.0
300417.0,01,Food and non-alcoholic beverages,9944.25
300418.0,01,Food and non-alcoholic beverages,5463.0
300419.0,01,Food and non-alcoholic beverages,12929.5
300420.0,01,Food and non-alcoholic beverages,5754.45
300421.0,01,Food and non-alcoholic beverages,2754.8
300422.0,01,Food and non-alcoholic beverages,15100.630000000001
300424.0,01,Food and non-alcoholic beverages,35011.0
300425.0,01,Food and non-alcoholic beverages,42300.0
300426.0,01,Food and non-alcoholic beverages,10480.0
300427.0,01,Food and non-alcoholic beverages,26000.0
300428.0,01,Food and non-alcoholic beverages,24780.0
300429.0,01,Food and non-alcoholic beverages,8250.0
300430.0,01,Food and non-alcoholic beverages,16853.6
300431.0,01,Food and non-alcoholic beverages,39000.0
300432.0,01,Food and non-alcoholic beverages,12800.025
300433.0,01,Food and non-alcoholic beverages,16700.0
300434.0,01,Food and non-alcoholic beverages,8750.0
300435.0,01,Food and non-alcoholic beverages,30450.0
300436.0,01,Food and non-alcoholic beverages,21404.04
300437.0,01,Food and non-alcoholic beverages,3602.55
300438.0,01,Food and non-alcoholic beverages,1950.0
300439.0,01,Food and non-alcoholic beverages,24360.0
300440.0,01,Food and non-alcoholic beverages,12000.0
300441.0,01,Food and non-alcoholic beverages,2577.91
300442.0,01,Food and non-alcoholic beverages,8550.24
300443.0,01,Food and non-alcoholic beverages,2850.25
300444.0,01,Food and non-alcoholic beverages,36838.687
300445.0,01,Food and non-alcoholic beverages,8804.5
300446.0,01,Food and non-alcoholic beverages,10850.012
300447.0,01,Food and non-alcoholic beverages,15543.532
300448.0,01,Food and non-alcoholic beverages,11302.0
300449.0,01,Food and non-alcoholic beverages,77913.82
300450.0,01,Food and non-alcoholic beverages,4400.0
300451.0,01,Food and non-alcoholic beverages,30800.0
300452.0,01,Food and non-alcoholic beverages,11650.0
300453.0,01,Food and non-alcoholic beverages,26200.1
300454.0,01,Food and non-alcoholic beverages,32951.0
300455.0,01,Food and non-alcoholic beverages,47900.0
300456.0,01,Food and non-alcoholic beverages,24704.0
300457.0,01,Food and non-alcoholic beverages,5350.0
300458.0,01,Food and non-alcoholic beverages,32350.0
300459.0,01,Food and non-alcoholic beverages,14479.0
300460.0,01,Food and non-alcoholic beverages,11553.0
300461.0,01,Food and non-alcoholic beverages,16930.0
300462.0,01,Food and non-alcoholic beverages,17052.814
300463.0,01,Food and non-alcoholic beverages,40150.0
300464.0,01,Food and non-alcoholic beverages,12704.0
300465.0,01,Food and non-alcoholic beverages,30600.4
300466.0,01,Food and non-alcoholic beverages,10590.822
300467.0,01,Food and non-alcoholic beverages,182.377
300468.0,01,Food and non-alcoholic beverages,30000.0
300469.0,01,Food and non-alcoholic beverages,49740.072
300470.0,01,Food and non-alcoholic beverages,84915.0
300471.0,01,Food and non-alcoholic beverages,108394.0
300472.0,01,Food and non-alcoholic beverages,21850.0
300473.0,01,Food and non-alcoholic beverages,51300.0
300474.0,01,Food and non-alcoholic beverages,13150.0
300475.0,01,Food and non-alcoholic beverages,29402.5
300476.0,01,Food and non-alcoholic beverages,46905.0
300477.0,01,Food and non-alcoholic beverages,42800.0
300479.0,01,Food and non-alcoholic beverages,23000.0
300480.0,01,Food and non-alcoholic beverages,19400.0
300481.0,01,Food and non-alcoholic beverages,6400.0
300482.0,01,Food and non-alcoholic beverages,17900.0
300483.0,01,Food and non-alcoholic beverages,23600.0
300484.0,01,Food and non-alcoholic beverages,11250.9
300485.0,01,Food and non-alcoholic beverages,22700.5
300486.0,01,Food and non-alcoholic beverages,29500.0
300487.0,01,Food and non-alcoholic beverages,12650.0
300488.0,01,Food and non-alcoholic beverages,8461.5
300489.0,01,Food and non-alcoholic beverages,11710.0
300490.0,01,Food and non-alcoholic beverages,14702.0
300491.0,01,Food and non-alcoholic beverages,21600.0
300493.0,01,Food and non-alcoholic beverages,9250.0
300494.0,01,Food and non-alcoholic beverages,3650.0
300495.0,01,Food and non-alcoholic beverages,22950.0
