hhid,cpi_code,cpi_category,total_spend_rwf,province,district,ur,quintile,weight,poverty,total_hh_spend,spend_share_pct
300013.0,04,Housing and utilities,2000.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,194305.76,1.03
300013.0,05,Furnishing and household,1000.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,194305.76,0.51
300013.0,06,Health,103000.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,194305.76,53.01
300014.0,05,Furnishing and household,2500.0,City of Kigali,Nyarugenge,Urban,Q4,185.53341740226986,Non Poor,47654.2,5.25
300015.0,05,Furnishing and household,37500.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,51455.47,72.88
300016.0,03,Clothing and footwear,3000.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,62350.0,4.81
300018.0,03,Clothing and footwear,4000.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,34520.0,11.59
300018.0,05,Furnishing and household,3000.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,34520.0,8.69
300018.0,06,Health,6000.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,34520.0,17.38
300019.0,03,Clothing and footwear,105000.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,128751.78,81.55
300020.0,03,Clothing and footwear,435000.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,611100.0,71.18
300020.0,06,Health,35000.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,611100.0,5.73
300020.0,07,Transport,500.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,611100.0,0.08
300020.0,09,Recreation and culture,24000.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,611100.0,3.93
300020.0,12,Miscellaneous,75000.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,611100.0,12.27
300021.0,03,Clothing and footwear,43000.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,83200.0,51.68
300021.0,05,Furnishing and household,13000.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,83200.0,15.62
300022.0,08,Communication,5000.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,19200.0,26.04
300023.0,06,Health,12000.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,22851.0,52.51
300023.0,07,Transport,900.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,22851.0,3.94
300025.0,03,Clothing and footwear,30000.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,91530.0,32.78
300026.0,03,Clothing and footwear,16000.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,101200.25,15.81
300026.0,05,Furnishing and household,39000.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,101200.25,38.54
300026.0,06,Health,2000.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,101200.25,1.98
300026.0,12,Miscellaneous,12000.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,101200.25,11.86
300028.0,03,Clothing and footwear,17000.0,City of Kigali,Nyarugenge,Rural,Q1,112.27013727013727,Moderately poor,41187.5,41.27
300028.0,04,Housing and utilities,100.0,City of Kigali,Nyarugenge,Rural,Q1,112.27013727013727,Moderately poor,41187.5,0.24
300029.0,04,Housing and utilities,100.0,City of Kigali,Nyarugenge,Rural,Q4,112.27013727013727,Non Poor,38457.0,0.26
300030.0,03,Clothing and footwear,1500.0,City of Kigali,Nyarugenge,Rural,Q1,112.27013727013727,Moderately poor,24100.65,6.22
300030.0,04,Housing and utilities,2000.0,City of Kigali,Nyarugenge,Rural,Q1,112.27013727013727,Moderately poor,24100.65,8.3
300030.0,05,Furnishing and household,6000.0,City of Kigali,Nyarugenge,Rural,Q1,112.27013727013727,Moderately poor,24100.65,24.9
300031.0,07,Transport,14000.0,City of Kigali,Nyarugenge,Rural,Q5,112.27013727013727,Non Poor,80013.5,17.5
300031.0,08,Communication,20000.0,City of Kigali,Nyarugenge,Rural,Q5,112.27013727013727,Non Poor,80013.5,25.0
300032.0,04,Housing and utilities,65.0,City of Kigali,Nyarugenge,Rural,Q3,112.27013727013727,Non Poor,34465.0,0.19
300032.0,05,Furnishing and household,13000.0,City of Kigali,Nyarugenge,Rural,Q3,112.27013727013727,Non Poor,34465.0,37.72
300033.0,05,Furnishing and household,13000.0,City of Kigali,Nyarugenge,Rural,Q5,112.27013727013727,Non Poor,56901.0,22.85
300034.0,12,Miscellaneous,20000.0,City of Kigali,Nyarugenge,Rural,Q5,112.27013727013727,Non Poor,52853.5,37.84
300036.0,03,Clothing and footwear,73000.0,City of Kigali,Nyarugenge,Urban,Q5,180.36678353706688,Non Poor,97180.0,75.12
300036.0,05,Furnishing and household,5000.0,City of Kigali,Nyarugenge,Urban,Q5,180.36678353706688,Non Poor,97180.0,5.15
300036.0,12,Miscellaneous,3000.0,City of Kigali,Nyarugenge,Urban,Q5,180.36678353706688,Non Poor,97180.0,3.09
300037.0,03,Clothing and footwear,15000.0,City of Kigali,Nyarugenge,Urban,Q4,180.36678353706688,Non Poor,42850.0,35.01
300037.0,12,Miscellaneous,8000.0,City of Kigali,Nyarugenge,Urban,Q4,180.36678353706688,Non Poor,42850.0,18.67
300038.0,03,Clothing and footwear,9000.0,City of Kigali,Nyarugenge,Urban,Q1,180.36678353706688,Moderately poor,49350.5,18.24
300038.0,05,Furnishing and household,9000.0,City of Kigali,Nyarugenge,Urban,Q1,180.36678353706688,Moderately poor,49350.5,18.24
300038.0,06,Health,23000.0,City of Kigali,Nyarugenge,Urban,Q1,180.36678353706688,Moderately poor,49350.5,46.61
300039.0,12,Miscellaneous,500.0,City of Kigali,Nyarugenge,Urban,Q4,180.36678353706688,Non Poor,500.0,100.0
300040.0,05,Furnishing and household,20000.0,City of Kigali,Nyarugenge,Urban,Q2,180.36678353706688,Non Poor,39780.0,50.28
300040.0,06,Health,3000.0,City of Kigali,Nyarugenge,Urban,Q2,180.36678353706688,Non Poor,39780.0,7.54
300040.0,12,Miscellaneous,15000.0,City of Kigali,Nyarugenge,Urban,Q2,180.36678353706688,Non Poor,39780.0,37.71
300041.0,03,Clothing and footwear,25000.0,City of Kigali,Nyarugenge,Urban,Q5,180.36678353706688,Non Poor,70040.0,35.69
300041.0,12,Miscellaneous,400.0,City of Kigali,Nyarugenge,Urban,Q5,180.36678353706688,Non Poor,70040.0,0.57
300042.0,03,Clothing and footwear,15000.0,City of Kigali,Nyarugenge,Urban,Q5,180.36678353706688,Non Poor,33520.0,44.75
300044.0,03,Clothing and footwear,1500.0,City of Kigali,Nyarugenge,Urban,Q3,180.36678353706688,Non Poor,20070.125,7.47
300044.0,05,Furnishing and household,7700.0,City of Kigali,Nyarugenge,Urban,Q3,180.36678353706688,Non Poor,20070.125,38.37
300044.0,06,Health,500.0,City of Kigali,Nyarugenge,Urban,Q3,180.36678353706688,Non Poor,20070.125,2.49
300044.0,12,Miscellaneous,5000.0,City of Kigali,Nyarugenge,Urban,Q3,180.36678353706688,Non Poor,20070.125,24.91
300045.0,03,Clothing and footwear,116500.0,City of Kigali,Nyarugenge,Urban,Q5,168.96229851874764,Non Poor,892112.75,13.06
300045.0,05,Furnishing and household,689800.0,City of Kigali,Nyarugenge,Urban,Q5,168.96229851874764,Non Poor,892112.75,77.32
300045.0,12,Miscellaneous,65000.0,City of Kigali,Nyarugenge,Urban,Q5,168.96229851874764,Non Poor,892112.75,7.29
300046.0,05,Furnishing and household,6000.0,City of Kigali,Nyarugenge,Urban,Q5,168.96229851874764,Non Poor,20850.0,28.78
300047.0,03,Clothing and footwear,9000.0,City of Kigali,Nyarugenge,Urban,Q4,168.96229851874764,Non Poor,16500.0,54.55
300048.0,08,Communication,5000.0,City of Kigali,Nyarugenge,Urban,Q5,168.96229851874764,Non Poor,53400.3,9.36
300048.0,12,Miscellaneous,1000.0,City of Kigali,Nyarugenge,Urban,Q5,168.96229851874764,Non Poor,53400.3,1.87
300049.0,12,Miscellaneous,5000.0,City of Kigali,Nyarugenge,Urban,Q5,168.96229851874764,Non Poor,50350.0,9.93
300050.0,12,Miscellaneous,5000.0,City of Kigali,Nyarugenge,Urban,Q5,168.96229851874764,Non Poor,124760.32,4.01
300051.0,03,Clothing and footwear,91000.0,City of Kigali,Nyarugenge,Urban,Q5,168.96229851874764,Non Poor,326425.0,27.88
300051.0,05,Furnishing and household,184500.0,City of Kigali,Nyarugenge,Urban,Q5,168.96229851874764,Non Poor,326425.0,56.52
300053.0,05,Furnishing and household,13000.0,City of Kigali,Nyarugenge,Urban,Q5,168.96229851874764,Non Poor,13000.0,100.0
300054.0,05,Furnishing and household,12000.0,City of Kigali,Nyarugenge,Urban,Q5,165.3735362997658,Non Poor,57150.0,21.0
300054.0,06,Health,3000.0,City of Kigali,Nyarugenge,Urban,Q5,165.3735362997658,Non Poor,57150.0,5.25
300055.0,05,Furnishing and household,6000.0,City of Kigali,Nyarugenge,Urban,Q5,165.3735362997658,Non Poor,12000.0,50.0
300055.0,07,Transport,5000.0,City of Kigali,Nyarugenge,Urban,Q5,165.3735362997658,Non Poor,12000.0,41.67
300056.0,12,Miscellaneous,30000.0,City of Kigali,Nyarugenge,Urban,Q5,165.3735362997658,Non Poor,40101.5,74.81
300057.0,05,Furnishing and household,13000.0,City of Kigali,Nyarugenge,Urban,Q5,165.3735362997658,Non Poor,54800.0,23.72
300057.0,12,Miscellaneous,3000.0,City of Kigali,Nyarugenge,Urban,Q5,165.3735362997658,Non Poor,54800.0,5.47
300059.0,05,Furnishing and household,13000.0,City of Kigali,Nyarugenge,Urban,Q5,165.3735362997658,Non Poor,78170.8,16.63
300059.0,12,Miscellaneous,2800.0,City of Kigali,Nyarugenge,Urban,Q5,165.3735362997658,Non Poor,78170.8,3.58
300060.0,03,Clothing and footwear,10000.0,City of Kigali,Nyarugenge,Urban,Q4,165.3735362997658,Non Poor,67250.25,14.87
300060.0,05,Furnishing and household,30000.0,City of Kigali,Nyarugenge,Urban,Q4,165.3735362997658,Non Poor,67250.25,44.61
300060.0,12,Miscellaneous,3000.0,City of Kigali,Nyarugenge,Urban,Q4,165.3735362997658,Non Poor,67250.25,4.46
300061.0,04,Housing and utilities,500.0,City of Kigali,Nyarugenge,Urban,Q5,165.3735362997658,Non Poor,66200.5,0.76
300061.0,09,Recreation and culture,31400.0,City of Kigali,Nyarugenge,Urban,Q5,165.3735362997658,Non Poor,66200.5,47.43
300062.0,03,Clothing and footwear,32000.0,City of Kigali,Nyarugenge,Urban,Q5,165.3735362997658,Non Poor,71202.8,44.94
300062.0,05,Furnishing and household,10000.0,City of Kigali,Nyarugenge,Urban,Q5,165.3735362997658,Non Poor,71202.8,14.04
300063.0,03,Clothing and footwear,52000.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,119050.0,43.68
300063.0,06,Health,6000.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,119050.0,5.04
300064.0,05,Furnishing and household,52000.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,75060.25,69.28
300064.0,12,Miscellaneous,8000.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,75060.25,10.66
300065.0,03,Clothing and footwear,70000.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,266425.25,26.27
300065.0,06,Health,3000.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,266425.25,1.13
300065.0,12,Miscellaneous,70000.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,266425.25,26.27
300066.0,03,Clothing and footwear,15000.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,68600.0,21.87
300066.0,05,Furnishing and household,10000.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,68600.0,14.58
300067.0,08,Communication,13500.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,89650.0,15.06
300067.0,12,Miscellaneous,3000.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,89650.0,3.35
300068.0,04,Housing and utilities,84600.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,132250.0,63.97
300068.0,08,Communication,12000.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,132250.0,9.07
300068.0,12,Miscellaneous,5000.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,132250.0,3.78
300069.0,03,Clothing and footwear,28000.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,635300.0,4.41
300069.0,08,Communication,6000.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,635300.0,0.94
300069.0,12,Miscellaneous,572000.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,635300.0,90.04
300070.0,05,Furnishing and household,3000.0,City of Kigali,Nyarugenge,Urban,Q5,169.23024454520788,Non Poor,3000.0,100.0
300072.0,06,Health,3000.0,City of Kigali,Nyarugenge,Urban,Q5,171.1695399259651,Non Poor,24500.5,12.24
300073.0,12,Miscellaneous,15000.0,City of Kigali,Nyarugenge,Urban,Q5,171.1695399259651,Non Poor,32360.0,46.35
300074.0,03,Clothing and footwear,15000.0,City of Kigali,Nyarugenge,Urban,Q5,171.1695399259651,Non Poor,25702.752,58.36
300075.0,06,Health,3000.0,City of Kigali,Nyarugenge,Urban,Q5,171.1695399259651,Non Poor,19315.0,15.53
300076.0,03,Clothing and footwear,35000.0,City of Kigali,Nyarugenge,Urban,Q3,171.1695399259651,Non Poor,70483.0,49.66
300077.0,05,Furnishing and household,13000.0,City of Kigali,Nyarugenge,Urban,Q2,171.1695399259651,Moderately poor,34452.5,37.73
300078.0,04,Housing and utilities,2000.0,City of Kigali,Nyarugenge,Urban,Q1,171.1695399259651,Moderately poor,14761.572,13.55
300079.0,04,Housing and utilities,200.0,City of Kigali,Nyarugenge,Urban,Q3,171.1695399259651,Non Poor,72757.3,0.27
300079.0,05,Furnishing and household,30000.0,City of Kigali,Nyarugenge,Urban,Q3,171.1695399259651,Non Poor,72757.3,41.23
300079.0,06,Health,18000.0,City of Kigali,Nyarugenge,Urban,Q3,171.1695399259651,Non Poor,72757.3,24.74
300080.0,04,Housing and utilities,2500.0,City of Kigali,Nyarugenge,Urban,Q5,171.1695399259651,Non Poor,76809.706,3.25
300080.0,05,Furnishing and household,40000.0,City of Kigali,Nyarugenge,Urban,Q5,171.1695399259651,Non Poor,76809.706,52.08
300082.0,06,Health,3000.0,City of Kigali,Nyarugenge,Urban,Q5,166.86338797814207,Non Poor,17850.0,16.81
300083.0,06,Health,3000.0,City of Kigali,Nyarugenge,Urban,Q5,166.86338797814207,Non Poor,134952.0,2.22
300084.0,05,Furnishing and household,13000.0,City of Kigali,Nyarugenge,Urban,Q4,166.86338797814207,Non Poor,46350.8,28.05
300086.0,05,Furnishing and household,13000.0,City of Kigali,Nyarugenge,Urban,Q5,166.86338797814207,Non Poor,39060.35,33.28
300086.0,06,Health,1000.0,City of Kigali,Nyarugenge,Urban,Q5,166.86338797814207,Non Poor,39060.35,2.56
300088.0,05,Furnishing and household,20000.0,City of Kigali,Nyarugenge,Urban,Q3,166.86338797814207,Non Poor,33275.0,60.11
300088.0,09,Recreation and culture,1000.0,City of Kigali,Nyarugenge,Urban,Q3,166.86338797814207,Non Poor,33275.0,3.01
300089.0,03,Clothing and footwear,15000.0,City of Kigali,Nyarugenge,Urban,Q5,166.86338797814207,Non Poor,45401.125,33.04
300089.0,05,Furnishing and household,10700.0,City of Kigali,Nyarugenge,Urban,Q5,166.86338797814207,Non Poor,45401.125,23.57
300089.0,06,Health,10000.0,City of Kigali,Nyarugenge,Urban,Q5,166.86338797814207,Non Poor,45401.125,22.03
300090.0,04,Housing and utilities,100.0,City of Kigali,Nyarugenge,Urban,Q3,164.40951462552235,Non Poor,19895.193,0.5
300090.0,06,Health,500.0,City of Kigali,Nyarugenge,Urban,Q3,164.40951462552235,Non Poor,19895.193,2.51
300090.0,12,Miscellaneous,1000.0,City of Kigali,Nyarugenge,Urban,Q3,164.40951462552235,Non Poor,19895.193,5.03
300091.0,06,Health,6000.0,City of Kigali,Nyarugenge,Urban,Q3,164.40951462552235,Non Poor,56642.0,10.59
300092.0,06,Health,3000.0,City of Kigali,Nyarugenge,Urban,Q5,164.40951462552235,Non Poor,45863.59,6.54
300092.0,08,Communication,200.0,City of Kigali,Nyarugenge,Urban,Q5,164.40951462552235,Non Poor,45863.59,0.44
300092.0,12,Miscellaneous,19500.0,City of Kigali,Nyarugenge,Urban,Q5,164.40951462552235,Non Poor,45863.59,42.52
300093.0,04,Housing and utilities,25000.0,City of Kigali,Nyarugenge,Urban,Q1,164.40951462552235,Moderately poor,41260.0,60.59
300094.0,04,Housing and utilities,200.0,City of Kigali,Nyarugenge,Urban,Q4,164.40951462552235,Non Poor,25213.916,0.79
300095.0,04,Housing and utilities,200.0,City of Kigali,Nyarugenge,Urban,Q3,164.40951462552235,Non Poor,44653.5,0.45
300095.0,05,Furnishing and household,13000.0,City of Kigali,Nyarugenge,Urban,Q3,164.40951462552235,Non Poor,44653.5,29.11
300095.0,06,Health,3000.0,City of Kigali,Nyarugenge,Urban,Q3,164.40951462552235,Non Poor,44653.5,6.72
300096.0,03,Clothing and footwear,7000.0,City of Kigali,Nyarugenge,Urban,Q1,164.40951462552235,Moderately poor,53735.05,13.03
300096.0,04,Housing and utilities,1200.0,City of Kigali,Nyarugenge,Urban,Q1,164.40951462552235,Moderately poor,53735.05,2.23
300096.0,05,Furnishing and household,26000.0,City of Kigali,Nyarugenge,Urban,Q1,164.40951462552235,Moderately poor,53735.05,48.39
300096.0,12,Miscellaneous,1000.0,City of Kigali,Nyarugenge,Urban,Q1,164.40951462552235,Moderately poor,53735.05,1.86
300098.0,02,Alcoholic beverages and tobacco,100.0,City of Kigali,Nyarugenge,Urban,Q2,164.40951462552235,Moderately poor,14754.915,0.68
300098.0,04,Housing and utilities,100.0,City of Kigali,Nyarugenge,Urban,Q2,164.40951462552235,Moderately poor,14754.915,0.68
300098.0,05,Furnishing and household,13000.0,City of Kigali,Nyarugenge,Urban,Q2,164.40951462552235,Moderately poor,14754.915,88.11
300098.0,12,Miscellaneous,300.0,City of Kigali,Nyarugenge,Urban,Q2,164.40951462552235,Moderately poor,14754.915,2.03
300099.0,03,Clothing and footwear,1500.0,City of Kigali,Nyarugenge,Urban,Q4,154.23588834736378,Non Poor,23340.0,6.43
300099.0,06,Health,9100.0,City of Kigali,Nyarugenge,Urban,Q4,154.23588834736378,Non Poor,23340.0,38.99
300099.0,12,Miscellaneous,200.0,City of Kigali,Nyarugenge,Urban,Q4,154.23588834736378,Non Poor,23340.0,0.86
300100.0,06,Health,3000.0,City of Kigali,Nyarugenge,Urban,Q5,154.23588834736378,Non Poor,39700.0,7.56
300100.0,08,Communication,2000.0,City of Kigali,Nyarugenge,Urban,Q5,154.23588834736378,Non Poor,39700.0,5.04
300100.0,12,Miscellaneous,15000.0,City of Kigali,Nyarugenge,Urban,Q5,154.23588834736378,Non Poor,39700.0,37.78
300101.0,03,Clothing and footwear,490000.0,City of Kigali,Nyarugenge,Urban,Q5,154.23588834736378,Non Poor,715400.0,68.49
300101.0,05,Furnishing and household,75000.0,City of Kigali,Nyarugenge,Urban,Q5,154.23588834736378,Non Poor,715400.0,10.48
300101.0,12,Miscellaneous,80000.0,City of Kigali,Nyarugenge,Urban,Q5,154.23588834736378,Non Poor,715400.0,11.18
300102.0,06,Health,500.0,City of Kigali,Nyarugenge,Urban,Q2,154.23588834736378,Non Poor,21750.0,2.3
300102.0,12,Miscellaneous,1800.0,City of Kigali,Nyarugenge,Urban,Q2,154.23588834736378,Non Poor,21750.0,8.28
300103.0,05,Furnishing and household,16000.0,City of Kigali,Nyarugenge,Urban,Q5,154.23588834736378,Non Poor,95600.0,16.74
300103.0,06,Health,3000.0,City of Kigali,Nyarugenge,Urban,Q5,154.23588834736378,Non Poor,95600.0,3.14
300103.0,12,Miscellaneous,5000.0,City of Kigali,Nyarugenge,Urban,Q5,154.23588834736378,Non Poor,95600.0,5.23
300105.0,03,Clothing and footwear,22000.0,City of Kigali,Nyarugenge,Urban,Q5,154.23588834736378,Non Poor,146600.0,15.01
300105.0,05,Furnishing and household,39000.0,City of Kigali,Nyarugenge,Urban,Q5,154.23588834736378,Non Poor,146600.0,26.6
300105.0,06,Health,6000.0,City of Kigali,Nyarugenge,Urban,Q5,154.23588834736378,Non Poor,146600.0,4.09
300106.0,05,Furnishing and household,26000.0,City of Kigali,Nyarugenge,Urban,Q5,154.23588834736378,Non Poor,26000.0,100.0
300107.0,12,Miscellaneous,2500.0,City of Kigali,Nyarugenge,Urban,Q5,154.23588834736378,Non Poor,34150.0,7.32
300110.0,06,Health,3000.0,City of Kigali,Nyarugenge,Urban,Q4,195.74358974358975,Non Poor,3000.0,100.0
300111.0,12,Miscellaneous,1000.0,City of Kigali,Nyarugenge,Urban,Q5,195.74358974358975,Non Poor,24000.0,4.17
300114.0,03,Clothing and footwear,17500.0,City of Kigali,Nyarugenge,Urban,Q5,195.74358974358975,Non Poor,81250.0,21.54
300114.0,05,Furnishing and household,10000.0,City of Kigali,Nyarugenge,Urban,Q5,195.74358974358975,Non Poor,81250.0,12.31
300114.0,06,Health,3000.0,City of Kigali,Nyarugenge,Urban,Q5,195.74358974358975,Non Poor,81250.0,3.69
300114.0,12,Miscellaneous,25000.0,City of Kigali,Nyarugenge,Urban,Q5,195.74358974358975,Non Poor,81250.0,30.77
300115.0,05,Furnishing and household,13000.0,City of Kigali,Nyarugenge,Urban,Q5,195.74358974358975,Non Poor,78650.0,16.53
300116.0,06,Health,1300.0,City of Kigali,Nyarugenge,Urban,Q5,195.74358974358975,Non Poor,78150.0,1.66
300116.0,12,Miscellaneous,40000.0,City of Kigali,Nyarugenge,Urban,Q5,195.74358974358975,Non Poor,78150.0,51.18
300117.0,06,Health,3000.0,City of Kigali,Nyarugenge,Urban,Q5,161.5940178314639,Non Poor,45600.0,6.58
300117.0,08,Communication,10000.0,City of Kigali,Nyarugenge,Urban,Q5,161.5940178314639,Non Poor,45600.0,21.93
300118.0,03,Clothing and footwear,55000.0,City of Kigali,Nyarugenge,Urban,Q5,161.5940178314639,Non Poor,94100.0,58.45
300118.0,04,Housing and utilities,3000.0,City of Kigali,Nyarugenge,Urban,Q5,161.5940178314639,Non Poor,94100.0,3.19
300118.0,06,Health,15000.0,City of Kigali,Nyarugenge,Urban,Q5,161.5940178314639,Non Poor,94100.0,15.94
300119.0,03,Clothing and footwear,450000.0,City of Kigali,Nyarugenge,Urban,Q5,161.5940178314639,Non Poor,531704.0,84.63
300119.0,12,Miscellaneous,15000.0,City of Kigali,Nyarugenge,Urban,Q5,161.5940178314639,Non Poor,531704.0,2.82
300120.0,06,Health,1500.0,City of Kigali,Nyarugenge,Urban,Q3,161.5940178314639,Non Poor,1500.0,100.0
300121.0,05,Furnishing and household,13000.0,City of Kigali,Nyarugenge,Urban,Q5,161.5940178314639,Non Poor,42153.5,30.84
300122.0,12,Miscellaneous,33000.0,City of Kigali,Nyarugenge,Urban,Q5,161.5940178314639,Non Poor,42170.25,78.25
300123.0,03,Clothing and footwear,6000.0,City of Kigali,Nyarugenge,Urban,Q4,161.5940178314639,Non Poor,26250.0,22.86
300124.0,05,Furnishing and household,30000.0,City of Kigali,Nyarugenge,Urban,Q4,161.5940178314639,Non Poor,48500.0,61.86
300124.0,06,Health,1500.0,City of Kigali,Nyarugenge,Urban,Q4,161.5940178314639,Non Poor,48500.0,3.09
300124.0,08,Communication,400.0,City of Kigali,Nyarugenge,Urban,Q4,161.5940178314639,Non Poor,48500.0,0.82
300125.0,08,Communication,50000.0,City of Kigali,Nyarugenge,Urban,Q5,161.5940178314639,Non Poor,380000.0,13.16
300125.0,09,Recreation and culture,80000.0,City of Kigali,Nyarugenge,Urban,Q5,161.5940178314639,Non Poor,380000.0,21.05
300125.0,12,Miscellaneous,250000.0,City of Kigali,Nyarugenge,Urban,Q5,161.5940178314639,Non Poor,380000.0,65.79
300127.0,03,Clothing and footwear,156000.0,City of Kigali,Nyarugenge,Rural,Q5,144.26971326164875,Non Poor,224568.25,69.47
